Value Set ID	Refset ID	Title	Description	Update Type
canshare-who-thoracic-pleura-pericardium-histology	299471000210102	NZ WHO thoracic pleura and/or pericardium histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 3. Tumours of the pleura and pericardium	To be created
canshare-who5-thoracic-lung-histology	299461000210108	NZ WHO thoracic lung histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 2. Tumours of the lung	To be created
canshare-who-thoracic-lung-histology	299461000210108	NZ WHO thoracic lung histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 2. Tumours of the lung	To be created
canshare-who5-thoracic-non-small-cell-lung-histology	299481000210100	NZ WHO thoracic non small cell lung histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 2. Tumours of the lung. Non small cell histology	To be created
canshare-who-thoracic-non-small-cell-lung-histology	299481000210100	NZ WHO thoracic non small cell lung histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 2. Tumours of the lung. Non small cell histology	To be created
canshare-who5-thoracic-small-cell-lung-histology	299491000210103	NZ WHO thoracic small cell lung histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 2. Tumours of the lung. Small cell histology	To be created
canshare-who-thoracic-small-cell-lung-histology	299491000210103	NZ WHO thoracic small cell lung histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 2. Tumours of the lung. Small cell histology	To be created
canshare-who5-thoracic-heart-histology	299501000210108	NZ WHO thoracic heart histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 4. Tumours of the heart	To be created
canshare-who-thoracic-heart-histology	299501000210108	NZ WHO thoracic heart histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 4. Tumours of the heart	To be created
canshare-who5-thoracic-mesenchymal-histology	299511000210105	NZ WHO thoracic mesenchymal thorax histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 5. Mesenchymal tumours of the thorax	To be created
canshare-who-thoracic-mesenchymal-histology	299511000210105	NZ WHO thoracic mesenchymal thorax histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 5. Mesenchymal tumours of the thorax	To be created
canshare-who5-thoracic-germ-cell-mediastinum-histology	299521000210100	NZ WHO thoracic mediastinum germ cell histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 7. Germ cell tumours of the mediastinum	To be created
canshare-who-thoracic-germ-cell-mediastinum-histology	299521000210100	NZ WHO thoracic mediastinum germ cell histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 7. Germ cell tumours of the mediastinum	To be created
canshare-who5-thoracic-hematolymphoid-mediastinum-histology	299531000210103	NZ WHO thoracic mediastinum haematolymphoid histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 8. Haematolymphoid tumours of the mediastinum	To be created
canshare-who-thoracic-hematolymphoid-mediastinum-histology	299531000210103	NZ WHO thoracic mediastinum haematolymphoid histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 8. Haematolymphoid tumours of the mediastinum	To be created
canshare-who5-thoracic-ectopic-thyroid-parathyroid-histology	299541000210106	NZ WHO thoracic ectopic tumour of thyroid and/or parathyroid origin histology reference set (5th edition)	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, 5th edition) 9. Ectopic tumours of thyroid and parathyroid origin	To be created
canshare-who-thoracic-ectopic-thyroid-parathyroid-histology	299541000210106	NZ WHO thoracic ectopic tumour of thyroid and/or parathyroid origin histology reference set	Histologies used for thoracic cancer types (WHO Classification of Tumours, Thoracic Tumours, latest edition) 9. Ectopic tumours of thyroid and parathyroid origin	To be created
canshare-who5-digestive-histology	296921000210102	NZ WHO digestive system histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 	To be created
canshare-who-digestive-histology	296921000210102	NZ WHO digestive system histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 	To be created
canshare-who5-digestive-oesophagus-histology	300021000210108	NZ WHO digestive system oesophagus histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 2. Tumours of the oesophagus 	To be created
canshare-who-digestive-oesophagus-histology	300021000210108	NZ WHO digestive system oesophagus histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 2. Tumours of the oesophagus 	To be created
canshare-who5-digestive-stomach-histology	300031000210105	NZ WHO digestive system stomach histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 3. Tumours of the stomach	To be created
canshare-who-digestive-stomach-histology	300031000210105	NZ WHO digestive system stomach histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 3. Tumours of the stomach	To be created
canshare-who5-digestive-small-intestine-ampulla-histology	300041000210102	NZ WHO digestive system small intestine and/or ampulla histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 4. Tumours of the small intestine and ampulla	To be created
canshare-who-digestive-small-intestine-ampulla-histology	300041000210102	NZ WHO digestive system small intestine and/or ampulla histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 4. Tumours of the small intestine and ampulla	To be created
canshare-who5-digestive-appendix-histology	300051000210104	NZ WHO digestive system appendix histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 5. Tumours of the appendix	To be created
canshare-who-digestive-appendix-histology	300051000210104	NZ WHO digestive system appendix histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 5. Tumours of the appendix	To be created
canshare-who5-digestive-colon-rectum-histology	300061000210101	NZ WHO digestive system colon and/or rectum histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 6. Tumours of the colon and rectum	To be created
canshare-who-digestive-colon-rectum-histology	300061000210101	NZ WHO digestive system colon and/or rectum histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 6. Tumours of the colon and rectum	To be created
canshare-who5-digestive-anal-canal-histology	300071000210107	NZ WHO digestive system anal canal histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 7. Tumours of the anal canal	To be created
canshare-who-digestive-anal-canal-histology	300071000210107	NZ WHO digestive system anal canal histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 7. Tumours of the anal canal	To be created
canshare-who5-digestive-liver-intrahepatic-bile-duct-histology	300081000210109	NZ WHO digestive system liver and/or intrahepatic bile duct histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 8. Tumours of the liver and intrahepatic bile ducts	To be created
canshare-who-digestive-liver-intrahepatic-bile-duct-histology	300081000210109	NZ WHO digestive system liver and/or intrahepatic bile duct histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 8. Tumours of the liver and intrahepatic bile ducts	To be created
canshare-who5-digestive-gallbladder-extrahepatic-bile-duct-histology	300091000210106	NZ WHO digestive system gallbladder and/or extrahepatic bile duct histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 9. Tumours of the gallbladder and extrahepatic bile ducts	To be created
canshare-who-digestive-gallbladder-extrahepatic-bile-duct-histology	300091000210106	NZ WHO digestive system gallbladder and/or extrahepatic bile duct histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 9. Tumours of the gallbladder and extrahepatic bile ducts	To be created
canshare-who5-digestive-pancreas-histology	300101000210104	NZ WHO digestive system pancreas histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 10. Tumours of the pancreas	To be created
canshare-who-digestive-pancreas-histology	300101000210104	NZ WHO digestive system pancreas histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 10. Tumours of the pancreas	To be created
canshare-who5-digestive-hematolymphoid-histology	300111000210102	NZ WHO digestive system haematolymphoid histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 11. Haematolymphoid tumours of the digestive system	To be created
canshare-who-digestive-hematolymphoid-histology	300111000210102	NZ WHO digestive system haematolymphoid histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 11. Haematolymphoid tumours of the digestive system	To be created
canshare-who5-digestive-mesenchymal-histology	300121000210107	NZ WHO digestive system mesenchymal histology reference set (5th edition)	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, 5th edition) 12. Mesenchymal tumours of the digestive system	To be created
canshare-who-digestive-mesenchymal-histology	300121000210107	NZ WHO digestive system mesenchymal histology reference set	Histologies used for digestive system cancer types (WHO Classification of Tumours, Digestive System Tumours, latest edition) 12. Mesenchymal tumours of the digestive system	To be created
canshare-who-haematology-histology	253231000210109	NZ WHO hematolymphoid tumor histology reference set	Histologies used for haematolymphoid cancer types (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition) 	To be created
canshare-who-haematology-myeloid-histology	263321000210108	NZ WHO hematolymphoid myeloid proliferation or neoplasm histology reference set	Histologies used for myeloid proliferations and neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition - 2. Myeloid proliferations and neoplasms) 	To be created
canshare-who-haematology-histiocytic-histology	263331000210105	NZ WHO hematolymphoid histiocytic dendritic cell neoplasm histology reference set	Histologies used for histiocytic and dendritic cell neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition - 3. Histiocytic/Dendritic cell neoplasms) 	To be created
canshare-who-haematology-b-cell-histology	263341000210102	NZ WHO hematolymphoid B cell lymphoid proliferation or lymphoma histology reference set	Histologies used for B-cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition - 4. B-cell lymphoid proliferations and lymphomas) 	To be created
canshare-who-haematology-t-nk-cell-histology	263351000210104	NZ WHO hematolymphoid T cell and NK cell lymphoid proliferation or lymphoma histology reference set	Histologies used for T-cell and NK-cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition - 5. T-cell and NK-cell lymphoid proliferations and lymphomas) 	To be created
canshare-who-haematology-stroma-histology	263361000210101	NZ WHO hematolymphoid stroma derived neoplasm of lymphoid tissue histology reference set	Histologies used for stroma-derived neoplasms of lymphoid tissues (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition - 6. Stroma-derived neoplasms of lymphoid tissues) 	To be created
canshare-who5-haematology-aml-histology	297041000210107	NZ WHO haematolymphoid acute myeloid leukaemia histology reference set (5th edition)	Histologies used for acute myeloid leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-aml-histology	297041000210107	NZ WHO haematolymphoid acute myeloid leukaemia histology reference set	Histologies used for acute myeloid leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-all-histology	297031000210104	NZ WHO haematolymphoid acute lymphoblastic leukaemia histology reference set (5th edition)	Histologies used for acute lymphoblastic leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-all-histology	297031000210104	NZ WHO haematolymphoid acute lymphoblastic leukaemia histology reference set	Histologies used for acute lymphoblastic leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-acute-leukaemia-ambiguous-lineage-histology	297021000210101	NZ WHO haematolymphoid acute leukaemia of mixed or ambiguous lineage histology reference set	Histologies used for acute leukaemia of mixed or ambiguous lineage (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-acute-leukaemia-ambiguous-lineage-histology	297021000210101	NZ WHO haematolymphoid acute leukaemia of mixed or ambiguous lineage histology reference set	Histologies used for acute leukaemia of mixed or ambiguous lineage (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-cml-histology	297011000210106	NZ WHO haematolymphoid chronic myeloid leukaemia histology reference set (5th edition)	Histologies used for chronic myeloid leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-cml-histology	297011000210106	NZ WHO haematolymphoid chronic myeloid leukaemia histology reference set	Histologies used for chronic myeloid leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-pv-histology	297051000210105	NZ WHO haematolymphoid polycythaemia vera histology reference set (5th edition)	Histologies used for polycythemia vera (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-pv-histology	297051000210105	NZ WHO haematolymphoid polycythaemia vera histology reference set	Histologies used for polycythemia vera (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-et-histology	297061000210108	NZ WHO haematolymphoid essential thrombocythaemia histology reference set (5th edition)	Histologies used for essential thrombocythemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-et-histology	297061000210108	NZ WHO haematolymphoid essential thrombocythaemia histology reference set	Histologies used for essential thrombocythemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-myelofibrosis-histology	297131000210100	NZ WHO haematolymphoid myelofibrosis histology reference set (5th edition)	Histologies used for myelofibrosis (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-myelofibrosis-histology	297131000210100	NZ WHO haematolymphoid myelofibrosis histology reference set	Histologies used for myelofibrosis (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-mds-histology	297141000210108	NZ WHO haematolymphoid myelodysplastic syndrome histology reference set (5th edition)	Histologies used for myelodysplastic syndrome (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-mds-histology	297141000210108	NZ WHO haematolymphoid myelodysplastic syndrome histology reference set	Histologies used for myelodysplastic syndrome (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-histology-cll-histology	297001000210109	NZ WHO haematolymphoid chronic lymphocytic leukaemia histology reference set (5th edition)	Histologies used for chronic lymphocytic leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-histology-cll-histology	297001000210109	NZ WHO haematolymphoid chronic lymphocytic leukaemia histology reference set	Histologies used for chronic lymphocytic leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-sll-histology	297261000210103	NZ WHO haematolymphoid small lymphocytic lymphoma histology reference set (5th edition)	Histologies used for small lymphocytic lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-sll-histology	297261000210103	NZ WHO haematolymphoid small lymphocytic lymphoma histology reference set	Histologies used for small lymphocytic lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-lymphoplasmacytic-lymphoma-histology	297251000210101	NZ WHO haematolymphoid lymphoplasmacytic lymphoma histology reference set (5th edition)	Histologies used for lymphoplasmacytic lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-lymphoplasmacytic-lymphoma-histology	297251000210101	NZ WHO haematolymphoid lymphoplasmacytic lymphoma histology reference set	Histologies used for lymphoplasmacytic lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-fl-histology	297241000210104	NZ WHO haematolymphoid follicular lymphoma histology reference set (5th edition)	Histologies used for follicular lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-fl-histology	297241000210104	NZ WHO haematolymphoid follicular lymphoma histology reference set	Histologies used for follicular lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-mc-lymphoma-histology	297231000210107	NZ WHO haematolymphoid mantle cell lymphoma histology reference set (5th edition)	Histologies used for mantle cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-mc-lymphoma-histology	297231000210107	NZ WHO haematolymphoid mantle cell lymphoma histology reference set	Histologies used for mantle cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-dlbcl-histology	297221000210105	NZ WHO haematolymphoid diffuse large B-cell lymphoma histology reference set (5th edition)	Histologies used for diffuse large B-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-dlbcl-histology	297221000210105	NZ WHO haematolymphoid diffuse large B-cell lymphoma histology reference set	Histologies used for diffuse large B-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-primary-cns-lymphoma-histology	297211000210100	NZ WHO haematolymphoid primary CNS lymphoma histology reference set (5th edition)	Histologies used for primary central nervous system lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-primary-cns-lymphoma-histology	297211000210100	NZ WHO haematolymphoid primary CNS lymphoma histology reference set	Histologies used for primary central nervous system lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-bl-histology	297201000210102	NZ WHO haematolymphoid Burkitt lymphoma histology reference set (5th edition)	Histologies used for Burkitt lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-bl-histology	297201000210102	NZ WHO haematolymphoid Burkitt lymphoma histology reference set	Histologies used for Burkitt lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-hl-histology	297191000210104	NZ WHO haematolymphoid Hodgkin lymphoma histology reference set (5th edition)	Histologies used for Hodgkin lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-hl-histology	297191000210104	NZ WHO haematolymphoid Hodgkin lymphoma histology reference set	Histologies used for Hodgkin lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-amyloidosis-histology	297121000210102	NZ WHO haematolymphoid amyloidosis histology reference set (5th edition)	Histologies used for amyloidosis (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-amyloidosis-histology	297121000210102	NZ WHO haematolymphoid amyloidosis histology reference set	Histologies used for amyloidosis (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-myeloma-histology	297111000210107	NZ WHO haematolymphoid myeloma histology reference set (5th edition)	Histologies used for myeloma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-myeloma-histology	297111000210107	NZ WHO haematolymphoid myeloma histology reference set	Histologies used for myeloma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-plasma-cell-histology	297081000210100	NZ WHO haematolymphoid plasma cell neoplasm histology reference set (5th edition)	Histologies used for plasma cell neoplasm (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-plasma-cell-histology	297081000210100	NZ WHO haematolymphoid plasma cell neoplasm histology reference set	Histologies used for plasma cell neoplasm (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-peripheral-T-cell-lymphoma-histology	297181000210101	NZ WHO haematolymphoid peripheral T-cell lymphoma histology reference set (5th edition)	Histologies used for peripheral T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-peripheral-T-cell-lymphoma-histology	297181000210101	NZ WHO haematolymphoid peripheral T-cell lymphoma histology reference set	Histologies used for peripheral T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-cutaneous-T-cell-lymphoma-histology	297171000210103	NZ WHO haematolymphoid cutaneous T-cell lymphoma histology reference set (5th edition)	Histologies used for cutaneous T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-cutaneous-T-cell-lymphoma-histology	297171000210103	NZ WHO haematolymphoid cutaneous T-cell lymphoma histology reference set	Histologies used for cutaneous T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-extranodal-nk-t-cell-lymphoma-histology	297161000210109	NZ WHO haematolymphoid extranodal NK/T-cell lymphoma histology reference set (5th edition)	Histologies used for extranodal NK-cell and T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-extranodal-nk-t-cell-lymphoma-histology	297161000210109	NZ WHO haematolymphoid extranodal NK/T-cell lymphoma histology reference set	Histologies used for extranodal NK-cell and T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-mastocytosis-histology	297151000210106	NZ WHO haematolymphoid mastocytosis histology reference set (5th edition)	Histologies used for mastocytosis (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-mastocytosis-histology	297151000210106	NZ WHO haematolymphoid mastocytosis histology reference set	Histologies used for mastocytosis (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-lymphoma-histology	297071000210102	NZ WHO haematolymphoid lymphoma histology reference set (5th edition)	Histologies used for lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-lymphoma-histology	297071000210102	NZ WHO haematolymphoid lymphoma histology reference set	Histologies used for lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-b-cell-lymphoma-histology	297091000210103	NZ WHO haematolymphoid B-cell lymphoma histology reference set (5th edition)	Histologies used for B-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-b-cell-lymphoma-histology	297091000210103	NZ WHO haematolymphoid B-cell lymphoma histology reference set	Histologies used for B-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-nk-t-cell-lymphoma-histology	297101000210105	NZ WHO haematolymphoid NK/T-cell lymphoma histology reference set (5th edition)	Histologies used for NK-cell and T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-nk-t-cell-lymphoma-histology	297101000210105	NZ WHO haematolymphoid NK/T-cell lymphoma histology reference set	Histologies used for NK-cell and T-cell lymphoma (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-nhl-histology	299421000210101	NZ WHO haematolymphoid non-Hodgkin lymphoma histology reference set (5th edition)	Histologies used for non-Hodgkin lymphoma (WHO Classification of tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-nhl-histology	299421000210101	NZ WHO haematolymphoid non-Hodgkin lymphoma histology reference set	Histologies used for non-Hodgkin lymphoma (WHO Classification of tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-leukaemia-histology	296971000210103	NZ WHO haematolymphoid leukaemia histology reference set (5th edition)	Histologies used for leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-leukaemia-histology	296971000210103	NZ WHO haematolymphoid leukaemia histology reference set	Histologies used for leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-chronic-leukaemia-histology	296981000210101	NZ WHO haematolymphoid chronic leukaemia histology reference set (5th edition)	Histologies used for chronic leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-chronic-leukaemia-histology	296981000210101	NZ WHO haematolymphoid chronic leukaemia histology reference set	Histologies used for chronic leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-who5-haematology-acute-leukaemia-histology	296991000210104	NZ WHO haematolymphoid acute leukaemia histology reference set (5th edition)	Histologies used for acute leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition)	To be created
canshare-who-haematology-acute-leukaemia-histology	296991000210104	NZ WHO haematolymphoid acute leukaemia histology reference set	Histologies used for acute leukaemia (WHO Classification of Tumours, Haematolymphoid Tumours, latest edition)	To be created
canshare-nottingham-grade	253261000210100	NZ Nottingham Combined grade reference set	The grade of a breast cancer, assessed using the Nottingham grading system.	To be created
canshare-nuclear-grade	253271000210106	NZ cancer nuclear grade of DCIS grade reference set	The grade of a breast cancer, assessed using the ductal carcinoma in situ nuclear grading system.	To be created
canshare-follicular-lymphoma-grade	294721000210105	NZ cancer follicular lymphoma grade reference set	The grade of a follicular lymphoma, assessed using the follicular lymphoma grading system.	To be created
canshare-tnm-ct	253451000210104	NZ AJCC clinical T category reference set	A clinical tumour stage (cT) of a tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-breast-ct	253491000210106	NZ AJCC breast clinical T category reference set	A clinical tumour stage (cT) of a breast tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-ct	253501000210101	NZ AJCC haematology clinical T category reference set	A clinical tumour stage (cT) of a haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-mf-or-ss-ct	253571000210108	NZ AJCC haematology mycosis fungoides or sezary syndrome clinical T category reference set	A clinical tumour stage (cT) of a mycosis fungoides or sezary syndrome cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm-haematology-non-mf-or-ss-ct	253581000210105	NZ AJCC haematology primary cutaneous B-cell or T-cell (non-MF/SS) lymphoma clinical T category reference set	A clinical tumour stage (cT) of a cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-ct	297281000210106	NZ AJCC 8th thoracic clinical T category reference set	A clinical tumour stage (cT) of a thoracic tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-ct	297281000210106	NZ AJCC thoracic clinical T category reference set	A clinical tumour stage (cT) of a thoracic tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
canshare-tnm8-thoracic-thymus-ct	297341000210105	NZ AJCC 8th thoracic thymus clinical T category reference set	A clinical tumour stage (cT) of a thymus tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).	To be created
canshare-tnm-thoracic-thymus-ct	297341000210105	NZ AJCC thoracic thymus clinical T category reference set	A clinical tumour stage (cT) of a thymus tumour before initiation of treatment, using the AJCC cancer staging manual (latest edition).	To be created
